EL (deg);5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
AZ (deg);-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35;-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35;-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35
f (GHz);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB)
56;-96.85;-97.31;-93.05;-106.38;-92.24;-69.56;-81.62;-101.81;-90.14;-88.88;-95.05;-94.77;-92.66;-99.67;-97.59;-87.55;-87.73;-80;-61.46;-70.87;-85.69;-98.05;-86.36;-95.18;-94.47;-91.38;-101.47;-92.95;-89.73;-96.06;-91.64;-69.8;-81.68;-94.84;-91.6;-89.05;-94.24;-95.77;-93.02
56.1;-95.08;-89.72;-86.7;-107.83;-94.68;-70.88;-82.55;-96.04;-95.06;-90.69;-101.01;-99.66;-99.31;-97.57;-86.13;-82.1;-90.45;-90.25;-61.73;-71.24;-89.91;-100.6;-87.51;-95.56;-106.98;-93.89;-95.61;-100.15;-87.3;-91.26;-96.47;-69.31;-82.94;-90.62;-93.39;-89.44;-91.5;-100.01;-93.3
56.2;-104.39;-90.88;-86.85;-96.94;-95.83;-73.19;-85.37;-96.02;-95.93;-94.96;-97.51;-99.75;-97.2;-99.4;-85.55;-83.77;-104.94;-83.9;-63.93;-75.07;-89.79;-96.1;-91.3;-93.26;-102.89;-94.74;-97.71;-94.68;-89.85;-92.62;-93.74;-71.54;-85.94;-93.78;-95.41;-91.82;-95.67;-99.82;-94.11
56.3;-113.33;-87.93;-89.32;-99.82;-96.14;-75.65;-86;-101.82;-99.77;-101.67;-98.23;-101.96;-99.17;-96.32;-82.72;-85.43;-99.07;-88.41;-66.61;-76.59;-89.43;-94.65;-93.87;-98.37;-102.41;-97.84;-99.75;-94.67;-91.33;-93.35;-90.88;-73.18;-87.05;-92.16;-99.34;-94.41;-96.36;-99.59;-97.51
56.4;-109.92;-87.33;-89.44;-101.6;-94.14;-80.28;-93.01;-99.17;-98.8;-106.09;-103.71;-109.08;-109.3;-104.08;-83.77;-85.95;-96.08;-91.9;-71.38;-80.9;-91.66;-93.85;-102.15;-99.18;-103.53;-111.83;-102.21;-94.85;-93.61;-94.18;-101.96;-74.67;-90.14;-93.01;-95.9;-96.52;-97.26;-102.69;-99.11
56.5;-113.74;-94.5;-94.22;-96.21;-106.39;-85.91;-96.17;-101.52;-105.07;-110.81;-108.35;-106.73;-111.61;-102.64;-90.73;-92.08;-95.97;-95.64;-80.76;-84.41;-94.2;-98.6;-112.01;-104.61;-102.87;-103.58;-110.81;-100.08;-97.33;-94.04;-93.39;-76.75;-89.47;-97.45;-96.23;-108.84;-103.49;-110.66;-101.34
56.6;-104.17;-101.27;-101.29;-91.36;-105.12;-78.02;-92.7;-94.54;-106.3;-101.73;-102.91;-113.79;-105.53;-101.81;-94.87;-97.07;-93.59;-100.85;-73.35;-84.47;-100.24;-95.23;-102.68;-111.74;-109.57;-102.14;-100.76;-104.19;-104.26;-98.48;-103.49;-77.77;-85.18;-97.67;-94.47;-103.55;-109.21;-108.19;-115.06
56.7;-93.88;-96.95;-110.52;-89.23;-94.47;-74.5;-87.39;-90.98;-111.59;-97.28;-95.58;-105.02;-100.86;-95.33;-97.22;-90.59;-89.47;-93.36;-68.96;-80.69;-98.77;-95.74;-99.25;-99.46;-104.25;-107.39;-101.87;-107.98;-103.48;-85.77;-94.61;-76.49;-85.15;-104.22;-99.27;-104.13;-104.39;-107.51;-108.28
